"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 11 05:19:59 GMT 2023","Thu May 11 05:19:59 GMT 2023","336","","reqres.ReqresTests","","reqres.ReqresTests","unsuccessDeleteUser","Негативный тест для DELETE/users/{id} [3] -15","Проверка status code при удалении пользователя с несуществующими id"
"passed","Thu May 11 05:20:00 GMT 2023","Thu May 11 05:20:01 GMT 2023","385","","reqres.ReqresTests","","reqres.ReqresTests","unsuccessGetSingleUser","Негативный тест для Get/users/{id}","Проверка status code при вводе несуществующего id"
"passed","Thu May 11 05:19:57 GMT 2023","Thu May 11 05:19:58 GMT 2023","370","","reqres.ReqresTests","","reqres.ReqresTests","successDeleteUser","Позитивный тест для DELETE/users/{id} [1] 1","Проверка status code при удалении пользователя с существующими id"
"failed","Thu May 11 05:19:58 GMT 2023","Thu May 11 05:19:58 GMT 2023","313","","reqres.ReqresTests","","reqres.ReqresTests","unsuccessDeleteUser","Негативный тест для DELETE/users/{id} [2] 110","Проверка status code при удалении пользователя с несуществующими id"
"passed","Thu May 11 05:19:57 GMT 2023","Thu May 11 05:19:57 GMT 2023","597","","reqres.ReqresTests","","reqres.ReqresTests","unsuccessCheckStatusCode","Негативный тест для POST/register","Проверка значений status code и error message при вводе только email, без ввода пароля"
"passed","Thu May 11 05:19:59 GMT 2023","Thu May 11 05:19:59 GMT 2023","338","","reqres.ReqresTests","","reqres.ReqresTests","successCheckId","Позитивный тест для POST/register","Проверка значений status code и id при вводе email и password"
"passed","Thu May 11 05:19:58 GMT 2023","Thu May 11 05:19:58 GMT 2023","336","","reqres.ReqresTests","","reqres.ReqresTests","successDeleteUser","Позитивный тест для DELETE/users/{id} [2] 2","Проверка status code при удалении пользователя с существующими id"
"passed","Thu May 11 05:20:01 GMT 2023","Thu May 11 05:20:01 GMT 2023","127","","reqres.ReqresTests","","reqres.ReqresTests","successGetSingleUser","Позитивный тест для Get/users/{id}","Проверка совпадения id при вводе и в ответе и проверка того, что почта заканчивается на @reqres.in"
"failed","Thu May 11 05:19:58 GMT 2023","Thu May 11 05:19:58 GMT 2023","309","","reqres.ReqresTests","","reqres.ReqresTests","unsuccessDeleteUser","Негативный тест для DELETE/users/{id} [1] null","Проверка status code при удалении пользователя с несуществующими id"
"failed","Thu May 11 05:19:51 GMT 2023","Thu May 11 05:19:56 GMT 2023","4917","","reqres.ReqresTests","","reqres.ReqresTests","unuccessUpdateUser","Негативный тест для Put/users/{id}","Проверка обновления пользователя при заполнении поля job, но без заполнения поля name "
"passed","Thu May 11 05:19:59 GMT 2023","Thu May 11 05:20:00 GMT 2023","1003","","reqres.ReqresTests","","reqres.ReqresTests","successUpdateUser","Позитивный тест для Put/users/{id}","Проверка обновления пользователя при заполнении полей name и job"
